id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,Class
11391,M,EastAnglianRegion,HEQualification,90-100,More55,0,240,N,Pass
28400,F,Scotland,HEQualification,20-30,35-55,0,60,N,Pass
30268,F,NorthWesternRegion,ALevelorEquivalent,30-40,35-55,0,60,Y,Withdrawn
31604,F,SouthEastRegion,ALevelorEquivalent,50-60,35-55,0,60,N,Pass
32885,F,WestMidlandsRegion,LowerThanALevel,50-60,0-35,0,60,N,Pass
38053,M,Wales,ALevelorEquivalent,80-90,35-55,0,60,N,Pass
45462,M,Scotland,HEQualification,30-40,0-35,0,60,N,Pass
45642,F,NorthWesternRegion,ALevelorEquivalent,90-100,0-35,0,120,N,Pass
52130,F,EastAnglianRegion,ALevelorEquivalent,70-80,0-35,0,90,N,Pass
53025,M,NorthRegion,PostGraduateQualification,,More55,0,60,N,Pass
57506,M,SouthRegion,LowerThanALevel,70-80,35-55,0,60,N,Pass
58873,F,EastAnglianRegion,ALevelorEquivalent,20-30,0-35,0,60,N,Pass
59185,M,EastAnglianRegion,LowerThanALevel,60-70,35-55,0,60,N,Pass
62155,F,NorthWesternRegion,HEQualification,50-60,0-35,0,60,N,Pass
63400,M,Scotland,LowerThanALevel,40-50,35-55,0,60,N,Pass
65002,F,EastAnglianRegion,ALevelorEquivalent,70-80,0-35,0,60,N,Withdrawn
70464,F,WestMidlandsRegion,ALevelorEquivalent,60-70,35-55,0,60,N,Pass
71361,M,Ireland,HEQualification,,35-55,0,60,N,Pass
74372,M,EastAnglianRegion,ALevelorEquivalent,10-20,35-55,0,150,N,Fail
75091,M,SouthWestRegion,ALevelorEquivalent,30-40,35-55,0,60,N,Pass
77367,M,EastMidlandsRegion,ALevelorEquivalent,30-40,0-35,0,60,N,Pass
91265,M,NorthWesternRegion,HEQualification,0-10,0-35,0,60,N,Pass
94961,M,SouthRegion,LowerThanALevel,70-80,35-55,0,60,N,Withdrawn
98094,M,Wales,LowerThanALevel,70-80,35-55,0,60,N,Pass
100893,M,YorkshireRegion,ALevelorEquivalent,20-30,0-35,0,60,N,Pass
101781,M,SouthRegion,LowerThanALevel,80-90,35-55,0,60,N,Pass
102806,M,NorthWesternRegion,ALevelorEquivalent,30-40,0-35,0,60,N,Pass
102952,M,LondonRegion,HEQualification,60-70,0-35,0,60,N,Pass
104476,M,Ireland,PostGraduateQualification,,35-55,0,60,N,Pass
106247,M,SouthRegion,HEQualification,80-90,35-55,0,60,N,Withdrawn
106577,M,EastMidlandsRegion,LowerThanALevel,20-30,0-35,0,60,N,Pass
110175,M,EastAnglianRegion,HEQualification,80-90,35-55,0,60,N,Pass
111717,F,EastAnglianRegion,HEQualification,90-100,35-55,0,60,N,Pass
113295,M,YorkshireRegion,LowerThanALevel,60-70,35-55,0,60,N,Pass
114017,F,NorthRegion,PostGraduateQualification,,35-55,0,60,N,Pass
114999,M,YorkshireRegion,HEQualification,60-70,35-55,0,60,N,Pass
116541,M,Wales,HEQualification,0-10,0-35,0,60,N,Pass
116692,M,EastAnglianRegion,ALevelorEquivalent,70-80,35-55,0,60,N,Pass
118983,M,EastMidlandsRegion,HEQualification,30-40,0-35,0,120,N,Pass
123044,M,SouthRegion,ALevelorEquivalent,40-50,35-55,0,60,N,Pass
127582,F,EastMidlandsRegion,ALevelorEquivalent,40-50,0-35,0,180,N,Pass
129955,M,WestMidlandsRegion,ALevelorEquivalent,50-60,0-35,0,60,N,Withdrawn
132976,F,EastAnglianRegion,LowerThanALevel,80-90,35-55,0,120,N,Pass
134143,F,SouthEastRegion,ALevelorEquivalent,90-100,35-55,0,60,N,Distinction
135335,F,EastAnglianRegion,LowerThanALevel,20-30,0-35,0,180,N,Withdrawn
135400,F,SouthEastRegion,LowerThanALevel,90-100,35-55,0,60,Y,Withdrawn
137873,M,SouthWestRegion,ALevelorEquivalent,40-50,35-55,0,60,N,Pass
141355,F,EastMidlandsRegion,ALevelorEquivalent,30-40,0-35,0,240,N,Pass
141377,M,SouthWestRegion,ALevelorEquivalent,90-100,0-35,0,345,N,Withdrawn
142326,F,NorthRegion,ALevelorEquivalent,50-60,35-55,0,60,N,Pass
144801,F,SouthRegion,HEQualification,80-90,35-55,0,60,N,Pass
145130,M,SouthWestRegion,HEQualification,60-70,0-35,0,120,N,Pass
146188,F,WestMidlandsRegion,ALevelorEquivalent,20-30,0-35,0,60,Y,Fail
147756,M,NorthRegion,LowerThanALevel,60-70,0-35,0,120,N,Fail
147793,F,NorthRegion,LowerThanALevel,80-90,0-35,0,90,N,Withdrawn
148993,F,NorthWesternRegion,ALevelorEquivalent,30-40,35-55,0,60,Y,Withdrawn
151358,F,LondonRegion,ALevelorEquivalent,80-90,0-35,0,150,N,Pass
155550,M,LondonRegion,ALevelorEquivalent,0-10,35-55,0,420,N,Pass
155854,F,EastMidlandsRegion,ALevelorEquivalent,20-30,35-55,0,60,N,Pass
155984,F,EastAnglianRegion,LowerThanALevel,70-80,0-35,0,60,N,Withdrawn
157568,F,SouthWestRegion,ALevelorEquivalent,90-100,0-35,0,60,N,Pass
159954,M,EastMidlandsRegion,ALevelorEquivalent,40-50,35-55,0,60,N,Withdrawn
164259,M,Scotland,ALevelorEquivalent,70-80,0-35,0,60,N,Pass
167906,F,YorkshireRegion,ALevelorEquivalent,40-50,35-55,0,60,N,Pass
168936,F,WestMidlandsRegion,LowerThanALevel,10-20,35-55,0,60,N,Pass
172112,M,Ireland,HEQualification,,35-55,0,60,N,Pass
172797,F,Ireland,ALevelorEquivalent,,35-55,0,60,N,Pass
174782,M,EastAnglianRegion,HEQualification,90-100,More55,0,60,N,Pass
175392,M,NorthRegion,HEQualification,,35-55,0,60,N,Pass
175932,M,NorthWesternRegion,HEQualification,70-80,35-55,0,60,N,Pass
175991,F,NorthWesternRegion,ALevelorEquivalent,80-90,0-35,0,180,N,Fail
180753,M,SouthWestRegion,ALevelorEquivalent,30-40,0-35,0,120,N,Pass
181316,F,SouthWestRegion,ALevelorEquivalent,80-90,35-55,0,120,N,Withdrawn
183096,F,SouthWestRegion,ALevelorEquivalent,60-70,0-35,0,60,N,Pass
183947,M,LondonRegion,ALevelorEquivalent,10-20,0-35,0,180,N,Pass
184271,M,SouthWestRegion,HEQualification,80-90,35-55,0,170,N,Pass
185439,M,LondonRegion,HEQualification,10-20,0-35,0,120,N,Fail
186149,M,Scotland,HEQualification,30-40,35-55,0,60,N,Pass
187100,M,SouthEastRegion,ALevelorEquivalent,50-60,35-55,0,60,N,Distinction
188278,M,YorkshireRegion,ALevelorEquivalent,70-80,35-55,0,120,N,Withdrawn
189879,M,Scotland,ALevelorEquivalent,90-100,0-35,0,120,N,Pass
192183,F,SouthWestRegion,LowerThanALevel,90-100,0-35,0,60,N,Pass
195262,M,LondonRegion,ALevelorEquivalent,90-100,0-35,0,60,N,Withdrawn
200860,M,LondonRegion,LowerThanALevel,50-60,35-55,0,60,N,Pass
202635,F,Wales,ALevelorEquivalent,30-40,0-35,0,60,N,Withdrawn
205350,M,SouthWestRegion,HEQualification,80-90,35-55,0,60,N,Pass
205719,M,EastAnglianRegion,ALevelorEquivalent,40-50,0-35,0,90,Y,Fail
227499,F,LondonRegion,ALevelorEquivalent,10-20,35-55,0,60,N,Distinction
227517,M,Ireland,HEQualification,,0-35,0,180,N,Fail
228082,M,LondonRegion,HEQualification,60-70,0-35,0,60,N,Pass
228222,M,EastMidlandsRegion,LowerThanALevel,50-60,0-35,0,60,N,Pass
229179,M,WestMidlandsRegion,ALevelorEquivalent,20-30,0-35,0,60,N,Pass
229361,M,EastMidlandsRegion,ALevelorEquivalent,50-60,0-35,0,60,N,Pass
231554,M,LondonRegion,ALevelorEquivalent,40-50,0-35,0,240,N,Pass
235507,M,YorkshireRegion,ALevelorEquivalent,90-100,0-35,0,240,N,Withdrawn
236284,M,Scotland,PostGraduateQualification,90-100,0-35,0,60,N,Pass
238007,M,SouthRegion,HEQualification,90-100,More55,0,60,N,Pass
240712,M,LondonRegion,HEQualification,80-90,0-35,0,80,N,Pass
240884,M,SouthRegion,ALevelorEquivalent,90-100,0-35,0,120,N,Pass
241649,M,EastAnglianRegion,HEQualification,90-100,35-55,0,60,N,Pass
241729,F,EastMidlandsRegion,HEQualification,60-70,35-55,0,60,N,Fail
242793,M,LondonRegion,HEQualification,20-30,35-55,0,60,N,Pass
246834,M,SouthWestRegion,ALevelorEquivalent,90-100,35-55,0,60,N,Pass
248270,M,NorthWesternRegion,LowerThanALevel,20-30,0-35,0,90,N,Pass
255548,M,Wales,LowerThanALevel,20-30,35-55,0,60,N,Pass
256815,M,NorthWesternRegion,HEQualification,10-20,0-35,0,120,N,Pass
258392,F,WestMidlandsRegion,LowerThanALevel,30-40,0-35,0,60,N,Pass
258894,F,EastAnglianRegion,LowerThanALevel,70-80,35-55,0,60,N,Pass
260355,F,LondonRegion,ALevelorEquivalent,80-90,35-55,0,60,N,Withdrawn
262011,M,EastMidlandsRegion,ALevelorEquivalent,20-30,35-55,0,60,N,Pass
262934,F,NorthWesternRegion,ALevelorEquivalent,30-40,35-55,0,60,N,Pass
268073,M,EastAnglianRegion,ALevelorEquivalent,10-20,35-55,0,90,N,Fail
268733,M,EastAnglianRegion,ALevelorEquivalent,30-40,0-35,0,180,N,Withdrawn
271251,M,Scotland,ALevelorEquivalent,80-90,35-55,0,60,N,Pass
277880,F,SouthEastRegion,ALevelorEquivalent,60-70,0-35,0,60,N,Withdrawn
279572,M,LondonRegion,LowerThanALevel,40-50,0-35,0,60,N,Distinction
281022,F,Scotland,ALevelorEquivalent,30-40,0-35,0,150,N,Pass
281250,M,Wales,LowerThanALevel,70-80,35-55,0,60,N,Fail
281589,M,NorthWesternRegion,HEQualification,30-40,0-35,0,60,N,Fail
282821,M,SouthWestRegion,ALevelorEquivalent,30-40,35-55,0,60,N,Pass
286488,M,SouthEastRegion,ALevelorEquivalent,90-100,35-55,0,60,N,Pass
287548,M,EastAnglianRegion,ALevelorEquivalent,90-100,0-35,0,120,N,Pass
290201,M,Wales,ALevelorEquivalent,20-30,0-35,0,60,N,Pass
290757,M,NorthWesternRegion,ALevelorEquivalent,30-40,0-35,0,60,N,Pass
291334,M,SouthEastRegion,ALevelorEquivalent,90-100,35-55,0,60,N,Distinction
292923,F,SouthEastRegion,ALevelorEquivalent,90-100,35-55,0,180,N,Withdrawn
293699,M,EastMidlandsRegion,ALevelorEquivalent,70-80,0-35,0,120,N,Pass
294570,M,SouthEastRegion,HEQualification,90-100,More55,0,60,N,Pass
294594,M,SouthEastRegion,ALevelorEquivalent,90-100,0-35,0,60,N,Pass
295741,M,SouthEastRegion,ALevelorEquivalent,40-50,35-55,0,240,N,Fail
296332,M,SouthRegion,PostGraduateQualification,90-100,More55,0,60,N,Distinction
298696,F,SouthEastRegion,HEQualification,80-90,0-35,0,60,N,Pass
300398,M,WestMidlandsRegion,ALevelorEquivalent,30-40,35-55,0,60,N,Pass
302302,F,EastAnglianRegion,ALevelorEquivalent,40-50,0-35,0,60,N,Fail
305152,M,NorthWesternRegion,ALevelorEquivalent,70-80,0-35,0,60,N,Fail
305386,M,WestMidlandsRegion,ALevelorEquivalent,70-80,0-35,0,120,Y,Pass
305539,F,Wales,LowerThanALevel,80-90,0-35,0,120,N,Withdrawn
306107,M,WestMidlandsRegion,ALevelorEquivalent,50-60,35-55,0,120,N,Pass
306466,M,EastAnglianRegion,ALevelorEquivalent,90-100,35-55,0,60,N,Pass
