Student ID,Quiz01,Assignment01,Class
student000280,70,70,G
student000187,75,72,G
student000168,75,85,G
student000020,65,93,G
student000468,85,98,G
student000395,80,90,G
student000115,80,76,G
student000441,90,81,G
student000394,85,84,G
student000265,65,83,G
student000003,80,78,G
student000424,70,71,G
student000325,90,97,G
student000470,80,83,G
student000121,85,91,G
student000224,80,45,W
student000447,70,61,W
student000438,90,48,G
student000317,80,46,G
student000374,75,75,G
student000059,70,80,W
student000109,80,59,G
student000056,75,85,G
student000482,80,68,G
student000011,70,93,G
student000417,75,78,G
student000124,80,73,G
student000139,85,60,G
student000465,85,81,G
student000060,70,72,G
student000087,85,73,G
student000232,70,88,G
student000183,80,61,G
student000413,100,0,G
student000117,80,81,G
student000334,85,93,G
student000012,80,86,G
student000337,85,64,G
student000244,95,89,G
student000485,85,81,G
student000389,80,86,G
student000380,80,81,G
student000220,75,66,G
student000082,75,57,G
student000247,100,85,G
student000214,90,94,G
student000414,70,79,G
student000472,65,69,G
student000375,90,67,G
student000175,75,64,G
student000311,80,55,G
student000283,80,50,G
student000210,75,94,G
student000405,70,71,G
student000206,80,89,G
student000188,80,91,G
student000072,80,84,G
student000041,75,0,G
student000281,80,64,G
student000200,70,66,G
student000042,75,85,G
student000385,90,94,G
student000299,70,59,G
student000267,90,84,G
student000118,70,95,G
student000040,90,93,G
student000430,100,86,G
student000169,80,93,G
student000191,70,96,G
student000443,75,70,G
student000021,80,76,G
student000310,85,61,G
student000320,85,73,G
student000179,75,81,G
student000249,100,73,G
student000053,70,93,G
student000057,70,69,G
student000142,70,80,G
student000222,95,69,G
student000297,75,89,G
student000398,70,77,G
student000045,85,80,G
student000466,90,87,G
student000048,90,85,G
student000275,85,85,G
student000226,85,72,G
student000290,80,86,G
student000236,80,88,G
student000356,70,74,G
student000480,80,69,G
student000379,55,60,W
student000024,70,85,G
student000160,85,80,G
student000266,80,76,G
student000262,75,91,G
student000228,80,71,G
student000166,75,87,G
student000303,75,68,G
student000326,95,86,G
student000316,80,67,G
student000074,85,83,G
student000278,75,61,G
student000026,70,85,G
student000016,75,86,G
student000448,15,59,G
student000231,80,83,G
student000038,80,96,G
student000086,80,81,G
student000429,80,76,G
student000475,80,46,G
student000207,95,75,G
student000233,55,76,G
student000361,85,85,G
student000079,75,73,G
